,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,OPERATOR-NUM,OPERATORS,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
13,BOU,254.76,40.14,-38.69,48.52,Boulder,2,INTERMAGNET,USGS,,,
14,FRN,240.28,37.09,-54.89,42.63,Fresno,2,INTERMAGNET,USGS,,,
20,HAD,355.52,50.98,74.74,47.37,Hartland,3,BGS,SAMNET,INTERMAGNET,,
25,CLF,2.27,48.02,79.42,43.11,Chambon la foret,2,INTERMAGNET,BCMT,,,
33,BEL,20.8,51.83,96.27,47.71,Belsk,2,INTERMAGNET,EMMA,,,
34,FUR,11.28,48.17,87.05,43.2,Furstenfeldbruk,1,INTERMAGNET,,,,
36,BDV,14.02,49.07,89.64,44.35,Budkov,1,INTERMAGNET,,,,
37,FRD,282.63,38.2,-0.64,48.05,Fredericksburg,2,INTERMAGNET,USGS,,,
40,IPM,250.58,-27.2,-32.3,-19.28,Isla de Pascua,2,INTERMAGNET,BCMT,,,
44,KEP,323.51,-54.28,25.94,-45.16,King Edward Point,2,INTERMAGNET,BGS,,,
146,API,188.22,-13.8,-96.46,-15.5,Apia,1,INTERMAGNET,,,,
